,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
51,2M6IDHdaSAyt7FcJcptHjj,Santo,Santo,Christina Aguilera,183414,2022-01-20,0.0374,0.854,0.683,5.54e-05,9,0.34,-3.697,0,0.091,96.022,4,0.642,51,0
52,2nwHN5TM4OBdrwCUSx0wnE,Otra Noche,Otra Noche,Los Ángeles Azules,198720,2021-11-11,0.347,0.612,0.709,0.0,8,0.075,-4.1,1,0.0344,92.02,4,0.635,66,0
53,41yHlQmNvtjRpoexYcSyJp,Deprimida,Deprimida,Ozuna,217627,2022-02-17,0.0609,0.811,0.728,0.000658,1,0.137,-4.424,0,0.0619,88.001,4,0.725,53,0
54,2BEcap3xJtmiPaHKyfQi4e,Nostálgico,Nostálgico,Rvssian,209883,2021-09-08,0.166,0.734,0.846,1.74e-06,9,0.235,-3.425,0,0.0489,98.026,4,0.604,77,1
55,2dG9k8jtnkjzJjUToz9i9i,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",Bizarrap,519289,2022-03-03,0.555,0.586,0.74,0.0,1,0.11,-2.997,0,0.404,71.378,3,0.697,65,0
56,4CX96IInUaO0d6COMz62Qp,Nada de Nada,Pa'lla Voy,Marc Anthony,252100,2022-03-04,0.537,0.559,0.914,0.0,1,0.136,-2.441,1,0.0766,192.011,4,0.613,58,0
57,7dinxNQg4Pfl2ahvMRenBQ,GRACIAS POR NADA,GRACIAS POR NADA,Rauw Alejandro,219448,2022-02-24,0.212,0.755,0.733,0.0777,2,0.0843,-4.45,0,0.0933,139.942,4,0.315,40,0
58,51yjkR9blUWtAphR7lZl5y,Ley Seca,Ley Seca,Jhayco,263653,2021-09-02,0.127,0.754,0.847,0.0,8,0.174,-3.731,1,0.0926,104.973,4,0.546,2,0
59,2PH533J1xudlfZ5GaHAdVX,Señor Juez,Señor Juez,Ozuna,264757,2021-11-04,0.0695,0.78,0.792,0.000242,11,0.0671,-5.572,0,0.0356,130.012,4,0.937,61,0
60,6c32C8T3KlXrbvWSoD5aON,EXPERIMENTO,EXPERIMENTO,Myke Towers,222728,2021-09-23,0.0828,0.805,0.806,0.0,6,0.156,-3.589,0,0.0393,110.042,4,0.682,71,0
61,2Q4MRMnSAMckugCtR5jgXT,Problemón,Problemón,Alvaro Diaz,193013,2021-10-22,0.275,0.729,0.737,7.58e-06,2,0.137,-3.727,0,0.064,91.99,4,0.369,67,0
62,4knc1Fp3kbuq8bH2byOvLu,Índigo,Índigo,Camilo,214933,2021-10-13,0.00884,0.748,0.779,3.96e-05,0,0.113,-6.659,1,0.0342,128.91,4,0.928,69,0
63,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,160191,2020-12-04,0.112,0.653,0.524,0.0,11,0.203,-9.016,0,0.0502,83.97,4,0.553,84,1
64,27xdbLOIQOd3wdAsDCbvBz,Chambean,Chambean,Cosculluela,192000,2022-01-28,0.239,0.686,0.673,0.0,7,0.201,-4.845,0,0.418,84.949,4,0.549,45,0
65,0B1J4Mm4oRVMqoy6RM9vIM,North Carolina,Las Leyendas Nunca Mueren,Anuel AA,176538,2021-11-26,0.369,0.705,0.541,0.0,5,0.206,-6.421,0,0.0701,139.909,4,0.273,70,0
66,7iqOIHHEmu6Vhw25GgQ2eA,Una Nota,JOSE,J Balvin,170760,2021-09-10,0.0191,0.662,0.788,0.0,3,0.0559,-4.55,0,0.205,179.876,4,0.711,65,0
67,5Mw46yRtdiOdjqSG0eDItr,Emojis de Corazones (feat. Los Legendarios),Emojis de Corazones (feat. Los Legendarios),Wisin,303426,2021-09-24,0.067,0.823,0.687,0.000135,4,0.286,-4.715,0,0.0561,98.016,4,0.28,58,0
